hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
14:00:00,25/08/2018,2018,JIMENEZ,GENERAL PORFIRIO DIAZ,Atropello,Otros,1,0,1,25.66519,-100.408501
6:42:00,29/08/2017,2017,JOSE VASCONCELOS,MONTES ROCALLOSOS,Atropello,Exceso de velocidad,1,1,2,25.6538072,-100.34219
14:46:00,20/09/2017,2017,JOSE VASCONCELOS,LOS ROSALES,Atropello,Otros,0,1,1,25.653412,-100.350607
23:07,21/01/2015,2015,JOSE VASCONCELOS,LOS ALDAMA,Atropello,Otros,1,0,1,25.6628138,-100.404358
17:14,01/02/2015,2015,JOSE VASCONCELOS,PRIVADA JESUS MATA,Atropello,Distraccion,1,0,1,25.6558926,-100.386904
16:40,23/02/2015,2015,JOSE VASCONCELOS,RIO BRAVO,Atropello,Distraccion,1,0,1,25.653822,-100.381238
23:06,06/03/2015,2015,JOSE VASCONCELOS,LOS ALDAMA,Atropello,Otros,1,0,1,25.6628138,-100.404358
20:41,28/03/2015,2015,JOSE VASCONCELOS,RIO MOSA,Atropello,Viro indebidamente,1,0,1,25.6561501,-100.387522
9:46,03/04/2015,2015,JOSE VASCONCELOS,RIO BALSAS,Atropello,Distraccion,1,0,1,25.6518279,-100.376856
11:07,04/04/2015,2015,JOSE VASCONCELOS,RIO TAMESIS,Atropello,Otros,1,0,1,25.6547355,-100.383265
20:59,15/04/2015,2015,JOSE VASCONCELOS,SABINO,Atropello,Otros,1,0,1,25.65308,-100.355816
18:05,01/07/2015,2015,JOSE VASCONCELOS,DEGOLLADO,Atropello,Otros,1,0,1,25.6579477,-100.391135
1:11,31/07/2015,2015,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Distraccion,1,0,1,25.6625133,-100.403498
7:45,15/12/2015,2015,JOSE VASCONCELOS,CALZADA EL ROSARIO,Atropello,Otros,1,0,1,25.6553818,-100.385635
18:47:00,23/01/2016,2016,JOSE VASCONCELOS,SABINO,Atropello,Viro indebidamente,1,0,1,25.653080,-100.355820
19:12:00,24/01/2016,2016,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Viro indebidamente,1,0,1,25.662513,-100.403500
8:56:00,29/02/2016,2016,JOSE VASCONCELOS,RIO BRAVO,Atropello,Otros,1,0,1,25.653822,-100.381240
18:09:00,24/03/2016,2016,JOSE VASCONCELOS,MONTES ROCALLOSOS,Atropello,Distraccion,1,0,1,25.653807,-100.342190
11:56:00,08/05/2016,2016,JOSE VASCONCELOS,RIO BRAVO,Atropello,Otros,1,0,1,25.653822,-100.381240
9:30:00,20/05/2016,2016,JOSE VASCONCELOS,RIO BALSAS,Atropello,Otros,1,0,1,25.651828,-100.376860
8:57:00,27/07/2016,2016,JOSE VASCONCELOS,MANUEL GONZALEZ,Atropello,Viro indebidamente,1,0,1,25.661624,-100.400840
4:15:00,13/08/2016,2016,JOSE VASCONCELOS,GENARO GARZA GARCIA,Atropello,Otros,1,0,1,25.660403,-100.397288
18:22:00,03/10/2016,2016,JOSE VASCONCELOS,GENERAL NARANJO,Atropello,Otros,1,0,1,25.660701,-100.398184
15:50:00,08/10/2016,2016,JOSE VASCONCELOS,DEGOLLADO,Atropello,Distraccion,1,0,1,25.657948,-100.391140
7:09:00,21/10/2016,2016,JOSE VASCONCELOS,MONTES ROCALLOSOS,Atropello,Distraccion,1,0,1,25.653807,-100.342190
7:16:00,21/10/2016,2016,JOSE VASCONCELOS,LOS ROSALES,Atropello,Distraccion,1,0,1,25.653412,-100.350607
23:40:00,08/11/2016,2016,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Sin Dato,2,0,2,25.662513,-100.403500
11:37:00,14/11/2016,2016,JOSE VASCONCELOS,RIO SUCHIATE,Atropello,Viro indebidamente,1,0,1,25.652635,-100.378958
10:11:00,11/12/2016,2016,JOSE VASCONCELOS,MORELOS,Atropello,Viro indebidamente,1,0,1,25.662233,-100.402620
18:27:00,22/12/2016,2016,JOSE VASCONCELOS,BOSQUES DE CHAPULTEPEC,Atropello,Distraccion,1,0,1,25.651917,-100.377121
10:44:00,01/01/2017,2017,JOSE VASCONCELOS,DEGOLLADO,Atropello,Dormitando,1,0,1,25.6579477,-100.39114
12:59:00,03/03/2017,2017,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Otros,1,0,1,25.6625133,-100.4035
10:00:00,06/03/2017,2017,JOSE VASCONCELOS,BOSQUES DE CANADA,Atropello,Distraccion,1,0,1,25.651401,-100.37349
21:18:00,12/03/2017,2017,JOSE VASCONCELOS,BOSQUES DE CANADA,Atropello,Otros,1,0,1,25.651401,-100.37349
17:07:00,23/03/2017,2017,JOSE VASCONCELOS,RIO ROSAS,Atropello,Distraccion,1,0,1,25.652427,-100.361149
18:38:00,24/03/2017,2017,JOSE VASCONCELOS,MORELOS,Atropello,Sin Dato,1,0,1,25.662233,-100.40262
11:40:00,18/05/2017,2017,JOSE VASCONCELOS,J. M. MONTEMAYOR,Atropello,Otros,1,0,1,25.654795,-100.383523
8:58:00,10/06/2017,2017,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Otros,1,0,1,25.6625133,-100.4035
15:51:00,17/07/2017,2017,JOSE VASCONCELOS,NEIL ARMSTRONG,Atropello,Otros,1,0,1,25.6571908,-100.38968
8:34:00,27/08/2017,2017,JOSE VASCONCELOS,MONTES ROCALLOSOS,Atropello,Distraccion,1,0,1,25.6538072,-100.34219
14:13:00,06/10/2017,2017,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Otros,1,0,1,25.6625133,-100.4035
11:17:00,07/10/2017,2017,JOSE VASCONCELOS,BENITO JUAREZ,Atropello,Otros,1,0,1,25.6625133,-100.4035
8:50:00,29/11/2017,2017,JOSE VASCONCELOS,REAL SAN AGUSTIN,Atropello,Otros,1,0,1,25.654011,-100.33857
13:23:00,06/12/2017,2017,JOSE VASCONCELOS,MONTE ICUTU,Atropello,Otros,1,0,1,25.653562,-100.344197
