hora,fecha,año,calle,cruce,tipo_accidente,causa_accidente,lesionados,fallecidos,totales,lat,lon
14:08:00,09/06/2019,2019,RIO TIGRIS,JOSE VASCONCELOS,Atropello,Distraccion,1,0,1,25.6515,-100.371245
17:18:00,09/06/2016,2016,ROBERTO GARZA SADA,ALBERTO R. GONZALEZ,Atropello,Distraccion,1,0,1,25.635312,-100.364078
20:05:00,20/09/2016,2016,ROBERTO GARZA SADA,RIO SUCHIATE,Atropello,Distraccion,1,0,1,25.639356,-100.384041
10:01:00,27/12/2017,2017,ROBERTO GARZA SADA,GOMEZ MORIN,Atropello,Otros,1,0,1,25.635282,-100.36336
8:46:00,31/05/2019,2019,ROBERTO GARZA SADA,GOMEZ MORIN,Atropello,Otros,2,0,2,25.635282,-100.363362
16:51:00,04/07/2018,2018,ROBLE,GOMEZ MORIN,Atropello,Otros,1,0,1,25.650229,-100.35867
11:03:00,02/02/2018,2018,SAN ANDRES,GOMEZ MORIN,Atropello,Viro indebidamente,1,0,1,25.650307,-100.358773
12:54,23/07/2015,2015,SANTA BARBARA,GENERAL PORFIRIO DIAZ,Atropello,Otros,1,0,1,25.660033,-100.393326
11:50:00,22/01/2016,2016,SANTA BARBARA,CALLEJON DE LOS AYALA,Atropello,Distraccion,1,0,1,25.663888,-100.391090
16:35:00,14/02/2018,2018,SANTA BARBARA,JOSE VASCONCELOS,Atropello,Sin Dato,1,0,1,25.659259,-100.39372
11:03:00,20/02/2016,2016,SEGUNDA DE MONTE PALATINO,MONTE QUIRINAL,Atropello,Otros,1,0,1,25.666549,-100.359561
9:12,25/09/2015,2015,VALLE DE SAN ANGEL,PUENTE 1,Atropello,Otros,2,0,2,25.626269,-100.362728
11:28:00,24/02/2017,2017,VALLE SOL,ALTO CLARO,Atropello,Viro indebidamente,1,0,1,25.66208,-100.34824
14:43,11/04/2015,2015,VIA ANGELICA,CALZADA SAN PEDRO,Atropello,Otros,1,0,1,25.666904,-100.368431
15:34:00,10/05/2019,2019,ZINC,PLOMO,Atropello,Otros,1,0,1,25.68179,-100.413558
